plate_x,plate_z,description,pitch_name,release_speed,game_date,game_pk,home_team,away_team,pitcher_team,is_strike
-0.09,1.11,ball,Knuckle Curve,78.5,10/30/2024,775296,NYY,LAD,LAD,0
1.1,1.12,ball,4-Seam Fastball,97.2,10/30/2024,775296,NYY,LAD,LAD,0
0.76,1.51,ball,4-Seam Fastball,96.2,10/30/2024,775296,NYY,LAD,LAD,0
1.6,-0.76,ball,Knuckle Curve,78.9,10/30/2024,775296,NYY,LAD,LAD,0
-0.2,1.84,called_strike,Knuckle Curve,78.7,10/30/2024,775296,NYY,LAD,LAD,1
1.77,3.07,ball,4-Seam Fastball,96.7,10/30/2024,775296,NYY,LAD,LAD,0
0.61,1.9,called_strike,Sinker,94.9,10/30/2024,775296,NYY,LAD,LAD,1
1.51,0.61,ball,4-Seam Fastball,96.1,10/30/2024,775296,NYY,LAD,LAD,0
0.22,1.5,called_strike,Sinker,92.9,10/30/2024,775296,NYY,LAD,NYY,1
0.74,1.37,ball,Split-Finger,84.6,10/30/2024,775296,NYY,LAD,NYY,0
-0.91,2,called_strike,Cutter,89.9,10/30/2024,775296,NYY,LAD,NYY,1
0.48,3.64,ball,Cutter,91.5,10/30/2024,775296,NYY,LAD,NYY,0
1.64,3.38,ball,4-Seam Fastball,94.8,10/30/2024,775296,NYY,LAD,NYY,0
0.02,4.08,ball,Cutter,91.6,10/30/2024,775296,NYY,LAD,NYY,0
1.2,1.43,ball,Cutter,92,10/30/2024,775296,NYY,LAD,NYY,0
0.2,2.05,called_strike,4-Seam Fastball,95.1,10/30/2024,775296,NYY,LAD,NYY,1
-1.2,4.06,ball,4-Seam Fastball,97.6,10/30/2024,775296,NYY,LAD,LAD,0
0.72,2.23,called_strike,Sweeper,85.7,10/30/2024,775296,NYY,LAD,LAD,1
1.05,4.44,ball,Cutter,91.9,10/30/2024,775296,NYY,LAD,LAD,0
-0.76,3.62,called_strike,Sweeper,84.8,10/30/2024,775296,NYY,LAD,LAD,1
-1.56,2.7,ball,Sweeper,83.1,10/30/2024,775296,NYY,LAD,LAD,0
-1.13,2.03,ball,Sweeper,84.7,10/30/2024,775296,NYY,LAD,LAD,0
-0.14,3.9,ball,Sweeper,86.9,10/30/2024,775296,NYY,LAD,LAD,0
1.35,0.94,ball,Sweeper,87.3,10/30/2024,775296,NYY,LAD,LAD,0
0.66,2.06,called_strike,Sweeper,84.8,10/30/2024,775296,NYY,LAD,LAD,1
-0.12,4.38,ball,Sinker,96.3,10/30/2024,775296,NYY,LAD,LAD,0
-1.04,3.36,ball,Sweeper,85.8,10/30/2024,775296,NYY,LAD,LAD,0
-1.46,3.07,ball,Sweeper,85.2,10/30/2024,775296,NYY,LAD,LAD,0
-0.77,2.51,called_strike,Sinker,95.9,10/30/2024,775296,NYY,LAD,LAD,1
-0.89,2.03,ball,4-Seam Fastball,95.1,10/30/2024,775296,NYY,LAD,NYY,0
-0.97,3.73,ball,4-Seam Fastball,96.7,10/30/2024,775296,NYY,LAD,NYY,0
0.51,2,called_strike,4-Seam Fastball,95.8,10/30/2024,775296,NYY,LAD,NYY,1
-0.17,4.08,ball,4-Seam Fastball,95.8,10/30/2024,775296,NYY,LAD,NYY,0
-1.08,3.24,ball,Changeup,85.8,10/30/2024,775296,NYY,LAD,NYY,0
-0.67,3.52,ball,Changeup,85.7,10/30/2024,775296,NYY,LAD,NYY,0
1.25,1.53,ball,Changeup,87.4,10/30/2024,775296,NYY,LAD,NYY,0
0.32,3.97,ball,Changeup,87.5,10/30/2024,775296,NYY,LAD,NYY,0
0,3.15,called_strike,Changeup,86.7,10/30/2024,775296,NYY,LAD,NYY,1
0.09,2.91,called_strike,Cutter,91.1,10/30/2024,775296,NYY,LAD,LAD,1
0.91,3.19,ball,4-Seam Fastball,96.6,10/30/2024,775296,NYY,LAD,LAD,0
0.14,1.23,ball,Sweeper,84.8,10/30/2024,775296,NYY,LAD,LAD,0
1.11,2.73,ball,Sweeper,85.7,10/30/2024,775296,NYY,LAD,LAD,0
-0.87,2.72,called_strike,Sweeper,84.5,10/30/2024,775296,NYY,LAD,LAD,1
0.48,3.93,ball,4-Seam Fastball,96.5,10/30/2024,775296,NYY,LAD,LAD,0
